restaurant,itemid,option_group,max_select,value,value_price_c
mobileorderprodapi.transactcampus.com,6171213,Add-ons,1,1 Espresso Shot,116
mobileorderprodapi.transactcampus.com,6171213,Add-ons,1,2 Espresso Shots,232
mobileorderprodapi.transactcampus.com,6171217,Drink Size,1,Single,335
mobileorderprodapi.transactcampus.com,6171217,Drink Size,1,Triple,385
mobileorderprodapi.transactcampus.com,6171217,Drink Size,1,Double,355
mobileorderprodapi.transactcampus.com,6171217,Decaf Option,1,Caffeinated,0
mobileorderprodapi.transactcampus.com,6171217,Decaf Option,1,Decaf,0
mobileorderprodapi.transactcampus.com,6171217,Temperature options,1,Iced,0
mobileorderprodapi.transactcampus.com,6171217,Temperature options,1,Hot,0
mobileorderprodapi.transactcampus.com,6171214,Drink Size,1,Tall,555
mobileorderprodapi.transactcampus.com,6171214,Drink Size,1,Grande,630
mobileorderprodapi.transactcampus.com,6171214,Drink Size,1,Venti,680
mobileorderprodapi.transactcampus.com,6171214,Decaf Option,1,Caffeinated,0
mobileorderprodapi.transactcampus.com,6171214,Decaf Option,1,Decaf,0
mobileorderprodapi.transactcampus.com,6171214,Temperature options,1,Iced,0
mobileorderprodapi.transactcampus.com,6171214,Temperature options,1,Hot,0
mobileorderprodapi.transactcampus.com,6171214,Milk Options,1,Low fat Milk,0
mobileorderprodapi.transactcampus.com,6171214,Milk Options,1,Nonfat Milk,0
mobileorderprodapi.transactcampus.com,6171214,Milk Options,1,Whole Milk,0
mobileorderprodapi.transactcampus.com,6171214,Milk Options,1,Soy Milk,70
mobileorderprodapi.transactcampus.com,6171214,Milk Options,1,Oat Milk,70
mobileorderprodapi.transactcampus.com,6171214,Milk Options,1,Almond Milk,70
mobileorderprodapi.transactcampus.com,6171214,Milk Options,1,Coconut Milk,70
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Strawberry Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Sugar Free Vanilla Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Caramel Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Peppermint Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Toffee Nut Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Praline Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Lavender Syrup,94
mobileorderprodapi.transactcampus.com,6171214,Syrup Options,2,Raspberry Syrup,94
